name,accuracy,type,power,pp
avalanche,100.0,ice,60.0,10
liquidation,100.0,water,85.0,10
body-press,100.0,fighting,80.0,10
bind,85.0,normal,15.0,20
amnesia,,psychic,,20
safeguard,,normal,,25
earth-power,100.0,ground,90.0,10
stomping-tantrum,100.0,ground,75.0,10
draco-meteor,90.0,dragon,130.0,5
iron-head,100.0,steel,80.0,15
chilling-water,100.0,water,50.0,20
power-gem,100.0,rock,80.0,20
