name,accuracy,type,power,pp,ocurrences
power-gem,100.0,rock,80.0,20,3
magnet-rise,,electric,,10,3
avalanche,100.0,ice,60.0,10,3
fire-spin,85.0,fire,35.0,15,3
fissure,30.0,ground,,5,3
liquidation,100.0,water,85.0,10,3
hex,100.0,ghost,65.0,10,3
ally-switch,,psychic,,15,3
foul-play,100.0,dark,95.0,15,3
body-press,100.0,fighting,80.0,10,3
bulk-up,,fighting,,20,3
telekinesis,,psychic,,15,3
venoshock,100.0,poison,65.0,10,3
wonder-room,,psychic,,10,3
psywave,100.0,psychic,,15,3
nightmare,100.0,ghost,,15,3
dream-eater,100.0,psychic,100.0,15,3
heat-wave,90.0,fire,95.0,10,3
defog,,flying,,15,3
charge-beam,90.0,electric,50.0,10,3
hydro-pump,80.0,water,110.0,5,3
draco-meteor,90.0,dragon,130.0,5,3
dual-chop,90.0,dragon,40.0,15,3
iron-head,100.0,steel,80.0,15,3
life-dew,,water,,10,3
chilling-water,100.0,water,50.0,20,3
uproar,100.0,normal,90.0,10,3
tackle,100.0,normal,40.0,35,3
rollout,90.0,rock,30.0,20,3
charm,100.0,fairy,,20,3
dual-wingbeat,90.0,flying,40.0,10,3
pay-day,100.0,normal,40.0,20,3
thief,100.0,dark,60.0,25,3
scorching-sands,100.0,ground,70.0,10,3
electro-ball,100.0,electric,,10,3
sky-drop,100.0,flying,60.0,10,3
me-first,,normal,,20,3
dragon-dance,,dragon,,20,3
mega-drain,100.0,grass,40.0,15,3
fire-fang,95.0,fire,65.0,15,3
night-shade,100.0,ghost,,15,3
low-sweep,100.0,fighting,65.0,20,3
confuse-ray,100.0,ghost,,10,3
waterfall,100.0,water,80.0,15,3
air-cutter,95.0,flying,60.0,25,3
roost,,flying,,10,3
tailwind,,flying,,15,3
air-slash,95.0,flying,75.0,15,3
haze,,ice,,30,3
self-destruct,100.0,normal,200.0,5,3
